,author,text,source,date,target,label
0,Jeff Cercone,“It feels amazing” that unvaccinated people are “4.5 times LESS LIKELY to catch omicron” than people who are fully vaccinated and boosted.,Facebook posts,"January 4, 2022",barely-true,0
1,Ciara O'Rourke,President Joe Biden “has the lowest approval rating of any president ever.”,Facebook posts,"January 4, 2022",false,0
2,Jeff Cercone,"""Yale study: Vaccinated people more likely to be infected than those without the jab.”",Instagram posts,"January 4, 2022",false,0
3,Monique Curet,“Jan. 6 was NOT an insurrection…but Nov. 4 at 3 a.m. was!”,Facebook posts,"January 4, 2022",pants-fire,0
4,Monique Curet,A judge sealed “all the evidence and proof of who helped Ghislaine Maxwell sex traffic children.”,Facebook posts,"January 4, 2022",false,0
5,Alan Hovorka,"Actions by Joe Biden left ""10,000 - 15,000 American citizens abandoned to terrorists in Afghanistan.""",Derrick Van Orden,"January 4, 2022",barely-true,0
6,Jeff Cercone,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,Instagram posts,"January 3, 2022",false,0
7,Andy Nguyen,"""By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.""",Instagram posts,"January 3, 2022",barely-true,0
8,Jill Terreri,Vaccines are why flights have been shut down worldwide.,Facebook posts,"• January 3,",false,0
9,Jeff Cercone,“Most Americans on minimum wage earn less than a Dickensian allegory for destitution.”,Facebook posts,"January 3, 2022",half-true,0
10,Bill McCarthy,"Says Betty White said Dec. 28, days before she died, “Eat healthy and get all your vaccines. I just got boosted today.”",Facebook posts,"January 3, 2022",pants-fire,0
11,Monique Curet,A video clip shows a failed attempt by China to launch airstrikes near Taiwan.,Facebook posts,"January 3, 2022",pants-fire,0
12,Tom Kertscher,“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”,Bloggers,"January 3, 2022",pants-fire,0
13,Tom Kertscher,“Trump cut Social Security benefits by over $3 billion.”,Congressional Progressive Caucus PAC,"January 3, 2022",false,0
14,Madeline Heim,"The push for high-speed internet for rural areas, from the start, “was a Democratic thing.”",Jon Erpenbach,"December 28, 2021",half-true,0
15,Gabrielle Settles,“WHO Director-General: The vaccines are being used to kill children.”,Tweets,"December 23, 2021",false,0
16,Louis Jacobson,"“More people, aged 18-45, died of Fentanyl overdoses in 2020 than covid, car accidents, cancer, + suicide combined.”",Facebook posts,"December 23, 2021",half-true,0
17,Jeff Cercone,Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,Peter McCollough,"December 23, 2021",false,0
18,Gabrielle Settles,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",Facebook posts,"December 23, 2021",false,0
19,Paul Specht,Audio clips from ad show Pat McCrory supported Black Lives Matter protesters while condemning ‘Trump supporters’,Club for Growth,"December 22, 2021",barely-true,0
20,Jill Terreri,NASA study says snake plants can produce enough oxygen for humans to live in a sealed room.,Facebook posts,"• December 22,",false,0
21,Louis Jacobson,"“I represent more, or just as many or more, people than Joe Manchin does.”",Alexandria Ocasio-Cortez,"December 22, 2021",false,0
22,Amy Sherman,People vaccinated for COVID-19 “do not spread the disease to anyone else.”,Joe Biden,"December 22, 2021",barely-true,0
23,Tom Kertscher,"Eating grapefruit, “if you're on antidepressants,” can “cause a fatal overdose.”",Facebook posts,"December 21, 2021",false,0
24,Vivian Lam,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",Bloggers,"December 21, 2021",false,0
25,Bill McCarthy,"Says Kellogg’s tweeted, “Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""",Facebook posts,"December 21, 2021",false,0
